slug,agreement_no,url,use,confidence,note
368-dcind-direct-controlindustrial-district,nan,https://zoningbylaw.edmonton.ca/part-3-special-area-zones/edmonton-south-special-area/368-dcind-direct-controlindustrial-district,ind,h,
dc-182,182,https://zoningbylaw.edmonton.ca/dc-182,com,h,
dc-20712,20712,https://zoningbylaw.edmonton.ca/dc-20712,mix,h,
dc-20753,20753,https://zoningbylaw.edmonton.ca/dc-20753,mix,h,
dc-20757,20757,https://zoningbylaw.edmonton.ca/dc-20757,res,h,
dc-20793,20793,https://zoningbylaw.edmonton.ca/dc-20793,res,m,
dc-20807,20807,https://zoningbylaw.edmonton.ca/dc-20807,mix,h,
dc-20837,20837,https://zoningbylaw.edmonton.ca/dc-20837,res,l,"mid-rise building, use unspecified"
dc-20853,20853,https://zoningbylaw.edmonton.ca/dc-20853,com,h,
dc-20908,20908,https://zoningbylaw.edmonton.ca/dc-20908,mix,m,
dc-20920,20920,https://zoningbylaw.edmonton.ca/dc-20920,mix,h,
dc-20921,20921,https://zoningbylaw.edmonton.ca/dc-20921,mix,m,
dc-20932,20932,https://zoningbylaw.edmonton.ca/dc-20932,mix,m,
dc-20933,20933,https://zoningbylaw.edmonton.ca/dc-20933,mix,h,
dc-20974,20974,https://zoningbylaw.edmonton.ca/dc-20974,ind,m,warehousing+office+ltd commercial
dc-21007,21007,https://zoningbylaw.edmonton.ca/dc-21007,mix,h,
dc-21050,21050,https://zoningbylaw.edmonton.ca/dc-21050,com,m,health/wellness commercial+ltd residential
dc-21084,21084,https://zoningbylaw.edmonton.ca/dc-21084,ind,h,
dc-21088,21088,https://zoningbylaw.edmonton.ca/dc-21088,res,m,
dc-21089,21089,https://zoningbylaw.edmonton.ca/dc-21089,ind,m,business employment
dc-21121,21121,https://zoningbylaw.edmonton.ca/dc-21121,ind,m,
dc-21128,21128,https://zoningbylaw.edmonton.ca/dc-21128,mix,m,
dc-21131,21131,https://zoningbylaw.edmonton.ca/dc-21131,res,h,
dc-21135,21135,https://zoningbylaw.edmonton.ca/dc-21135,mix,h,
dc-21136,21136,https://zoningbylaw.edmonton.ca/dc-21136,inst,l,child care or small residential
dc-21142,21142,https://zoningbylaw.edmonton.ca/dc-21142,com,h,
dc-21145,21145,https://zoningbylaw.edmonton.ca/dc-21145,com,m,
dc-21149,21149,https://zoningbylaw.edmonton.ca/dc-21149,res,l,continuing care retirement community
dc-21159,21159,https://zoningbylaw.edmonton.ca/dc-21159,res,h,
dc-21176,21176,https://zoningbylaw.edmonton.ca/dc-21176,mix,m,
dc-21178,21178,https://zoningbylaw.edmonton.ca/dc-21178,res,h,
dc-21179,21179,https://zoningbylaw.edmonton.ca/dc-21179,mix,h,
dc-21193,21193,https://zoningbylaw.edmonton.ca/dc-21193,res,m,supportive housing+community services
dc-21205,21205,https://zoningbylaw.edmonton.ca/dc-21205,ind,l,interim low-intensity outdoor uses
dc-21250,21250,https://zoningbylaw.edmonton.ca/dc-21250,res,h,
dc-21276,21276,https://zoningbylaw.edmonton.ca/dc-21276,mix,m,mixed use + car dealership
dc-21312,21312,https://zoningbylaw.edmonton.ca/dc-21312,ind,m,business employment
dc-21338,21338,https://zoningbylaw.edmonton.ca/dc-21338,ind,m,
dc-21355,21355,https://zoningbylaw.edmonton.ca/dc-21355,com,h,
dc-21391,21391,https://zoningbylaw.edmonton.ca/dc-21391,com,l,perinatal health services in garden suite
dc-21393,21393,https://zoningbylaw.edmonton.ca/dc-21393,res,m,
dc-21423,21423,https://zoningbylaw.edmonton.ca/dc-21423,com,h,
dc-21437,21437,https://zoningbylaw.edmonton.ca/dc-21437,unknown,l,no purpose text
dc-21459,21459,https://zoningbylaw.edmonton.ca/dc-21459,ind,m,
dc-21463,21463,https://zoningbylaw.edmonton.ca/dc-21463,mix,h,
dc-21464,21464,https://zoningbylaw.edmonton.ca/dc-21464,res,h,
dc-21471,21471,https://zoningbylaw.edmonton.ca/dc-21471,mix,m,
dc-21483,21483,https://zoningbylaw.edmonton.ca/dc-21483,com,m,historic Strathcona core commercial
dc-21486,21486,https://zoningbylaw.edmonton.ca/dc-21486,mix,m,
dc-21522,21522,https://zoningbylaw.edmonton.ca/dc-21522,res,m,
dc1-10468,10468,https://zoningbylaw.edmonton.ca/dc1-10468,com,l,"Telephone Exchange historic, use unspecified"
dc1-10705,10705,https://zoningbylaw.edmonton.ca/dc1-10705,unknown,l,fragment only
dc1-10886,10886,https://zoningbylaw.edmonton.ca/dc1-10886,res,l,single family structure preservation
dc1-11240,11240,https://zoningbylaw.edmonton.ca/dc1-11240,res,l,senior's residence (St Joseph's Hospital)
dc1-11400,11400,https://zoningbylaw.edmonton.ca/dc1-11400,unknown,l,"generic DC district, no use"
dc1-11619,11619,https://zoningbylaw.edmonton.ca/dc1-11619,unknown,l,no purpose text
dc1-11699,11699,https://zoningbylaw.edmonton.ca/dc1-11699,unknown,l,no purpose text
dc1-12034,12034,https://zoningbylaw.edmonton.ca/dc1-12034,res,m,Ross Flats Apartment historic
dc1-12157-area-1,12157 (A),https://zoningbylaw.edmonton.ca/dc1-12157-area-1,unknown,l,fragment only
dc1-12157-area-2,12157 (B),https://zoningbylaw.edmonton.ca/dc1-12157-area-2,unknown,l,no purpose text
dc1-12356,12356,https://zoningbylaw.edmonton.ca/dc1-12356,res,h,
dc1-12482,12482,https://zoningbylaw.edmonton.ca/dc1-12482,com,l,HBC Department Store facades
dc1-12800,12800,https://zoningbylaw.edmonton.ca/dc1-12800,com,l,Churchill Wire Centre facades
dc1-12801,12801,https://zoningbylaw.edmonton.ca/dc1-12801,unknown,l,no purpose text
dc1-12929,12929,https://zoningbylaw.edmonton.ca/dc1-12929,com,l,McLeod Building historic office
dc1-13175,13175,https://zoningbylaw.edmonton.ca/dc1-13175,unknown,l,no purpose text
dc1-13817,13817,https://zoningbylaw.edmonton.ca/dc1-13817,mix,m,Hugh Duncan Residence commercial+residential
dc1-13838,13838,https://zoningbylaw.edmonton.ca/dc1-13838,inst,h,Strathcona Library
dc1-14006,14006,https://zoningbylaw.edmonton.ca/dc1-14006,res,m,Bard Residence
dc1-14184,14184,https://zoningbylaw.edmonton.ca/dc1-14184,com,l,Hagmann Block historic
dc1-14204,14204,https://zoningbylaw.edmonton.ca/dc1-14204,res,m,
dc1-14446,14446,https://zoningbylaw.edmonton.ca/dc1-14446,res,h,
dc1-14448,14448,https://zoningbylaw.edmonton.ca/dc1-14448,inst,l,Rehwinkel Parsonage historic
dc1-14507,14507,https://zoningbylaw.edmonton.ca/dc1-14507,inst,m,Connaught Armoury historic
dc1-14553,14553,https://zoningbylaw.edmonton.ca/dc1-14553,res,m,Arlington Apartment historic
dc1-14647,14647,https://zoningbylaw.edmonton.ca/dc1-14647,res,m,William Blakey Residence
dc1-14667,14667,https://zoningbylaw.edmonton.ca/dc1-14667,com,h,Shopping Centre Zone
