slug,agreement_no,url,purpose
dc-182,182,https://zoningbylaw.edmonton.ca/dc-182,To establish a Site Specific Development Control District to accommodate a limited range of convenience commercial uses such that by limiting the range of specific land uses and developing sensitive site development criteria the development will be compatible with the surrounding land uses.
dc-20712,20712,https://zoningbylaw.edmonton.ca/dc-20712,"To allow for mixed use development with a range of Uses that supports housing, services, recreation, commerce, and employment opportunities. Site and building design in this Zone promotes development that enhances the public realm and publicly accessible amenities to create vibrant, walkable destinations at a scale inviting to pedestrians."
dc-20753,20753,https://zoningbylaw.edmonton.ca/dc-20753,"To accommodate a vibrant, mixed-use development that is integrated with the surrounding neighbourhood and connected to the adjacent LRT stop."
dc-20757,20757,https://zoningbylaw.edmonton.ca/dc-20757,To accommodate an existing mid rise residential development designed to ensure that development is compatible with the adjacent development in Area 2.
dc-20793,20793,https://zoningbylaw.edmonton.ca/dc-20793,"To accommodate the phased redevelopment of the existing multi-unit residential site to a medium to high-density development with an interconnected multi-modal street network and opportunities for street-oriented housing, limited commercial opportunities, and enhanced outdoor amenity areas."
dc-20807,20807,https://zoningbylaw.edmonton.ca/dc-20807,"To accommodate small-scale pedestrian-friendly mixed-use development, consisting primarily of neighbourhood-level retail with residential and/or commercial uses."
dc-20837,20837,https://zoningbylaw.edmonton.ca/dc-20837,To accommodate a mid-rise building on a uniquely shaped and sloped site.
dc-20853,20853,https://zoningbylaw.edmonton.ca/dc-20853,"To accommodate a small-scale, community-oriented neighbourhood commercial building."
dc-20908,20908,https://zoningbylaw.edmonton.ca/dc-20908,"To accommodate a mixture of uses and the continued preservation and viability of the Brighton Block, a designated Municipal Historic Resource, including a 3 Storey addition that is sympathetic to the historic character of the Brighton Block."
dc-20920,20920,https://zoningbylaw.edmonton.ca/dc-20920,"To accommodate the comprehensive. mixed-use, transit oriented urban village redevelopment of the Mill Woods Town Centre site around the Mill Woods LRT Stop and Transit Centre. 2. Development Objectives 2.1. In order to achieve the General Purpose of this Direct Control Zone, the following objectives for the comprehensive development of the entire site are provided in addition to development regulations: 2.1.1. Create a higher density, compact, mixed-use Transit Oriented Development (TOD) town centre. 2.1.2. Provide for a wide range of housing choice, shopping and employment"
