neighbourhood_name,frac_dc,frac_dc_res,frac_dc_com,frac_dc_ind,frac_dc_mix,frac_dc_inst,frac_dc_unknown
SOUTH EDMONTON COMMON,0.8091697135317174,0.0,0.8091457826199446,1.3752547497000218e-06,0.0,0.0,2.255565702299534e-05
PLACE LARUE,0.7550311434757885,0.00020078253001225646,0.7547139785059944,1.4931034671733434e-05,8.652037043836678e-05,0.0,1.4931034671733434e-05
MILL WOODS TOWN CENTRE,0.7530238093157949,0.04966886817994542,0.14999954777424443,0.0,0.5533462573019665,9.13605963864346e-06,0.0
STRATHCONA JUNCTION,0.7161928277690941,1.7010367511389622e-05,0.1666020630210123,0.0,0.4387835960906735,0.0,0.11079015828989687
CALGARY TRAIL SOUTH,0.6675471674671071,0.0,0.5876383571575302,0.0,0.008200949325206236,0.0,0.07170786098437067
SUMMERLEA,0.6395548493667004,0.007955922094726318,0.003805256332462319,0.0,0.6277936709395118,0.0,0.0
TERRA LOSA,0.5861363571159639,0.08597466922939523,0.18009035736195073,0.0962528643901405,0.11489884600799628,0.04021225022669789,0.06870736989978328
EMPIRE PARK,0.3607082026589419,0.03301915018455395,0.2809337681869571,0.0,0.0,0.002216670470511196,0.044538613816919585
HERITAGE VALLEY AREA,0.3461888897922611,8.319487782162755e-05,0.0,0.0,0.0,0.3461056949144395,0.0
EBBERS,0.3405964019518283,0.0554781719557827,0.2851182299960456,0.0,0.0,0.0,0.0
MCCAULEY,0.3171443950706523,0.00544099019149321,0.001815501125720636,0.0017406286803454648,0.04327383579235398,0.05677317750828425,0.20810026177245472
KINOKAMAU PLAINS AREA,0.30983378535275485,0.054006033678474834,0.0,0.25582775167428,0.0,0.0,0.0
LEWIS FARMS BUSINESS EMPLOYMENT,0.309533937085805,0.0,0.0,0.27422529823757963,0.0,2.754694505244229e-05,0.03528109190317296
CHARLESWORTH,0.3079143767986405,0.009971819228390407,0.058444143013059724,0.0,0.0,0.23949841455719034,0.0
ROSSDALE,0.29480068207570487,0.022579382363428845,0.0,0.0,0.07382391006447295,0.00881189430457682,0.18958549534322625
MCARTHUR INDUSTRIAL,0.29474391598009964,0.0,0.22250778491242634,0.07223613106767332,0.0,0.0,0.0
WÎHKWÊNTÔWIN,0.29355526223372624,0.0343379518475589,0.0055152562234524,9.359630878487906e-05,0.21547816927743454,0.0025552378177598825,0.03557505075873561
PEMBINA,0.2888812260611646,0.02638518694107514,0.26249603912008945,0.0,0.0,0.0,0.0
CROMDALE,0.27245427626700347,0.02065113724418161,0.05685891521031002,0.0,0.00024359910613172344,0.0,0.19470062470638014
CASHMAN,0.23415542317336574,0.0,0.00048093810628164276,0.08300910823102907,0.0,0.15066537683605505,0.0
WESTMOUNT,0.2304484047306915,0.10648254801427685,0.009589835104010264,3.8984654956791425e-06,0.024197420895573994,6.820614284533366e-07,0.09017402018990626
